;N;VOZR;GOD_POST;VREM_OB;COD_COURS;UROVEN;NAPR;UZNAL;VR_PUT;PROFROD;TEACHER;STAG
1;6561;13;2016;1;6;3;2;знакомые;32;инженер;150;0
2;6587;14;2016;8;13;3;4;интернет;15;инженер;140;1
3;6971;14;2016;8;13;3;4;интернет;5;заведующий;140;1
4;6984;16;2016;8;16;3;7;знакомые;33;преподаватель;7;13
5;7045;14;2016;8;11;2;5;знакомые;17;менеджер;144;0
6;7045;15;2017;8;19;3;5;знакомые;17;менеджер;144;1
7;7084;13;2016;8;18;2;3;знакомые;40;мастер;24;13
8;7084;14;2017;2;19;3;5;знакомые;40;мастер;144;1
9;7325;13;2016;1;11;2;5;н;19;админ;144;0
10;7431;13;2016;8;19;3;5;интернет;11;специалист;86;7
11;7500;18;2016;5;16;3;7;интернет;27;преподаватель;7;13
12;7502;14;2016;6;18;2;3;н;14;сотр_прект;24;13
13;7502;15;2017;1;18;2;3;н;14;сотр_прект;24;14
14;7504;15;2016;8;20;3;3;итмо;22;сотр_ооо;24;13
15;7504;16;2017;8;17;3;3;итмо;22;сотр_ооо;148;1
16;7534;12;2016;8;4;2;2;н;8;сотр_газпром;130;3
17;7566;16;2016;8;16;3;7;знакомые;38;сотр_книги;7;13
18;7587;13;2016;8;18;2;3;итмо;15;менеджер;24;13
19;7587;14;2017;8;11;2;5;итмо;15;менеджер;144;1
20;7587;15;2018;8;7;3;2;итмо;15;менеджер;149;2
21;7592;13;2017;8;18;2;3;интернет;14;директор;24;14
22;7592;14;2018;8;20;3;3;интернет;14;директор;24;15
23;7592;15;2019;8;19;3;5;интернет;14;директор;86;10
24;7594;15;2016;6;20;3;3;итмо;5;архитектор;24;13
25;7601;13;2016;8;4;2;2;итмо;5;директор;130;3
26;7627;13;2016;8;18;2;3;знакомые;12;н;24;13
27;7635;13;2016;8;18;2;3;интернет;5;н;24;13
28;7635;14;2017;8;13;3;4;интернет;5;н;140;2
29;7635;15;2018;8;16;3;4;интернет;5;н;140;3
30;7666;12;2016;8;11;2;5;знакомые;15;менеджер;144;0
31;7668;14;2017;8;11;2;5;вк;15;сотр_ооо;144;1
32;7673;15;2016;8;11;2;5;интернет;12;инд_предпр;144;0
33;7673;16;2017;8;19;3;5;интернет;12;инд_предпр;144;1
34;7725;13;2016;8;18;2;3;интернет;33;н;24;13
35;7778;10;2016;8;3;2;2;знакомые;5;сотр_арт;117;4
36;7778;11;2017;8;11;2;5;знакомые;5;сотр_арт;144;1
37;7797;11;2016;8;2;1;1;н;12;зам_ген_дир;148;0
38;7797;12;2017;8;11;2;5;н;12;зам_ген_дир;144;1
39;7797;13;2018;8;18;2;3;н;12;зам_ген_дир;24;15
40;7803;17;2016;8;16;3;7;интернет;34;преподаватель;7;13
41;7807;15;2017;8;19;3;5;н;40;директор;144;1
42;7813;15;2017;8;18;2;3;знакомые;23;домохозяйка;24;14
43;7825;13;2016;8;13;3;4;интернет;48;бухгалтер;140;1
44;7838;12;2016;5;2;1;1;знакомые;7;эксперт;148;0
45;7842;14;2016;8;20;3;3;интернет;19;сотр_ооо;24;13
46;7852;16;2018;8;18;2;3;знакомые;15;медсестра;24;15
47;7854;14;2016;8;19;3;5;интернет;12;медсестра;86;7
48;7863;13;2016;8;4;2;2;интернет;28;инспектор;7;13
49;7863;14;2017;8;15;3;2;интернет;28;инспектор;130;4
50;7863;15;2018;4;16;3;4;интернет;28;инспектор;140;3
51;7873;13;2016;8;13;3;4;знакомые;12;н;140;1
52;7873;14;2017;8;16;3;4;знакомые;12;н;140;2
53;7873;15;2018;8;15;3;2;знакомые;12;н;130;5
54;7874;14;2017;8;11;2;5;интернет;5;домохозяйка;144;1
55;7874;15;2018;8;19;3;5;интернет;5;домохозяйка;144;2
56;7879;12;2016;8;2;1;1;интернет;36;сотр_ооо;137;2
57;7879;13;2017;8;11;2;5;интернет;36;сотр_ооо;144;1
58;7879;14;2018;8;13;3;4;интернет;36;сотр_ооо;130;4
59;7879;15;2019;1;5;3;2;интернет;36;сотр_ооо;150;3
60;8344;13;2016;8;2;1;1;интернет;30;домохозяйка;137;2
61;8344;14;2017;8;11;2;5;интернет;30;домохозяйка;144;1
62;8387;14;2016;8;11;2;5;интернет;19;бухгалтер;144;0
63;8387;15;2017;8;19;3;5;интернет;19;бухгалтер;144;1
64;8390;14;2016;8;11;2;5;интернет;28;инд_предпр;144;0
65;8390;15;2017;8;4;2;2;интернет;28;инд_предпр;7;14
66;8395;17;2016;8;16;3;7;интернет;5;врач;7;13
67;8396;14;2016;5;19;3;5;знакомые;12;инженер;86;7
68;8398;11;2016;8;11;2;5;интернет;36;инженер;144;0
69;8398;12;2017;8;19;3;5;интернет;36;инженер;144;1
70;8398;13;2018;8;4;2;2;интернет;36;инженер;7;15
71;8399;12;2016;8;19;3;5;интернет;38;н;86;7
